Symbol,Open,High,Low,LTP,Change,Pct_Change,Volume_Lacs,Turnover_Crs,High_52w,Low_52w,Return_365d,Return_30d,Sector,Range_52w,Position_in_52w_Range,Intraday_Range_Pct,Momentum_Score,High_Volume_Flag
ADANIPORTS,750.0,766.0,713.25,715.0,-47.45,-6.22,72.2,532.63,901.0,384.4,79.22,-4.65,Logistics,516.6,64.0,7.4,45.67,1
ASIANPAINT,3101.0,3167.35,3091.0,3138.0,-6.25,-0.2,10.29,322.53,3505.0,2117.15,45.66,5.66,Consumer,1387.85,73.56,2.47,29.66,0
AXISBANK,669.0,674.9,660.45,661.0,-18.9,-2.78,102.53,684.0,866.9,568.4,10.19,-21.49,Banking,298.5,31.02,2.19,-2.48,1
BAJAJ-AUTO,3370.0,3383.5,3320.0,3335.0,-56.7,-1.67,3.42,114.59,4361.4,3041.0,9.3,-12.05,Auto,1320.3999999999996,22.27,1.91,0.76,0
BAJAJFINSV,17200.0,17237.2,16610.0,16684.0,-684.85,-3.94,3.42,576.79,19325.0,8273.7,91.38,-9.1,NBFC,11051.3,76.1,3.78,51.19,0
BAJFINANCE,7021.0,7047.9,6775.0,6780.0,-345.8,-4.85,16.89,1161.63,8050.0,4362.0,44.57,-13.69,NBFC,3688.0,65.56,4.03,21.27,0
BHARTIARTL,763.0,763.0,733.1,735.85,-29.3,-3.83,111.43,830.06,781.8,454.11,58.55,5.7,Telecom,327.68999999999994,85.98,4.08,37.41,1
BPCL,397.15,397.2,375.0,377.4,-22.7,-5.67,100.23,383.54,503.0,357.0,-1.22,-12.45,Energy,146.0,13.97,5.92,-5.71,1
BRITANNIA,3560.0,3635.1,3533.95,3566.6,-6.8,-0.19,3.73,133.23,4153.0,3317.3,0.3,-3.42,FMCG,835.6999999999998,29.83,2.86,-1.19,0
CIPLA,892.0,976.05,890.65,965.0,65.05,7.23,144.59,1380.9,1005.0,726.5,31.89,6.34,Pharma,278.5,85.64,9.59,21.67,1
COALINDIA,157.75,159.4,155.35,155.9,-2.65,-1.67,118.3,185.5,203.8,123.25,25.78,-10.94,Energy,80.55000000000001,40.53,2.61,11.09,1
DIVISLAB,4770.0,5077.7,4756.75,4940.0,140.2,2.92,15.71,775.37,5425.1,3153.3,42.39,-1.57,Pharma,2271.8,78.65,6.75,24.81,0
DRREDDY,4580.0,4820.0,4576.15,4750.0,158.4,3.45,10.72,508.97,5614.6,4135.0,-1.17,1.8,Pharma,1479.6000000000004,41.57,5.33,0.02,0
EICHERMOT,2495.0,2506.1,2421.5,2440.75,-79.65,-3.16,5.55,136.56,3037.0,2303.7,-5.95,-5.77,Auto,733.3000000000002,18.69,3.49,-5.88,0
GRASIM,1757.3,1757.85,1679.0,1685.8,-80.95,-4.58,7.48,127.84,1893.0,840.05,99.95,-3.08,Cement,1052.95,80.32,4.7,58.74,0
HCLTECH,1120.0,1126.0,1103.3,1111.65,-13.15,-1.17,22.07,246.06,1377.75,814.35,34.79,-4.73,IT,563.4,52.77,2.06,18.98,0
HDFC,2820.35,2856.0,2723.0,2745.0,-122.75,-4.28,33.53,927.88,3021.1,2179.3,25.27,-5.72,Banking,841.7999999999997,67.2,4.88,12.87,1
HDFCBANK,1500.0,1506.7,1485.0,1489.5,-36.45,-2.39,93.12,1394.1,1725.0,1342.0,6.18,-9.88,Banking,383.0,38.51,1.46,-0.24,1
HDFCLIFE,685.0,689.0,667.1,669.75,-19.05,-2.77,22.37,151.4,775.65,617.4,0.7,-2.94,Insurance,158.25,33.08,3.28,-0.76,0
HEROMOTOCO,2580.0,2589.7,2505.15,2526.8,-67.9,-2.62,6.85,174.04,3629.05,2505.15,-16.02,-6.43,Auto,1123.9,1.93,3.38,-12.18,0
HINDALCO,441.8,442.7,414.7,417.7,-29.35,-6.57,148.26,631.93,551.85,220.35,86.93,-14.06,Metals,331.5,59.53,6.75,46.53,1
HINDUNILVR,2344.0,2365.0,2325.2,2340.9,-8.15,-0.35,24.51,572.85,2859.3,2120.0,9.6,-3.94,FMCG,739.3000000000002,29.88,1.71,4.18,0
ICICIBANK,739.0,742.05,718.6,720.45,-30.6,-4.07,189.88,1385.86,867.0,465.8,52.41,-13.14,Banking,401.2,63.47,3.26,26.19,1
INDUSINDBK,951.0,956.95,898.0,899.95,-59.35,-6.19,67.46,622.74,1242.0,789.0,5.25,-22.08,Banking,453.0,24.49,6.56,-5.68,1
INFY,1702.55,1718.35,1684.0,1689.55,-32.85,-1.91,44.94,764.67,1848.0,1091.0,51.44,-0.83,IT,757.0,79.07,2.04,30.53,1
IOC,125.6,125.6,120.5,121.15,-4.5,-3.58,77.25,94.57,141.5,84.0,41.28,-7.87,Energy,57.5,64.61,4.23,21.62,1
ITC,228.9,230.05,223.1,223.6,-7.7,-3.33,270.27,610.54,265.3,192.4,15.35,-5.53,FMCG,72.9,42.8,3.12,7.0,1
JSWSTEEL,668.25,672.55,624.25,630.0,-50.9,-7.48,89.22,574.61,776.5,336.0,86.25,-9.27,Metals,440.5,66.74,7.74,48.04,1
KOTAKBANK,2002.0,2007.0,1955.1,1960.0,-75.1,-3.69,26.48,522.52,2253.0,1626.0,5.24,-11.35,Banking,627.0,53.27,2.65,-1.4,0
LT,1820.0,1841.75,1768.6,1781.0,-68.9,-3.72,27.97,502.81,1981.75,1092.0,59.59,-0.85,Infrastructure,889.75,77.44,4.14,35.41,0
M&M,885.0,885.0,843.0,855.05,-36.15,-4.06,39.34,338.08,979.0,660.25,18.77,-4.42,Auto,318.75,61.11,4.98,9.49,1
MARUTI,7520.0,7520.0,7130.0,7150.0,-422.5,-5.58,11.55,840.81,8368.0,6400.0,1.34,-2.02,Auto,1968.0,38.11,5.47,-0.0,0
